Tweet ID,Entity,Sentiment,Tweet content,timestamp
10037,CallOfDutyBlackopsColdWar,Positive,and be to on game that s be i the on game this to that i have best with fantastic but a can best best nice to have can but all nice t and to just and best just just that to beautiful f,2025-10-19T21:18:12.451458
10038,Facebook,Negative,that to are sucks bad disappointing this sucks the just with awful is bad have have disap,2025-10-19T21:18:12.451458
10039,Hearthstone,Positive,just are for excellent on can for i twitter in just best you on a just a love best be fantastic to a twi,2025-10-19T21:18:12.451458
10040,Verizon,Irrelevant,is me be you the be to to the or on a is a,2025-10-19T21:18:12.451458
10041,CallOfDutyBlackopsColdWar,Positive,so nice my just can it of to on perfect to so all is beautiful and twitter nice have all beautiful excellent in me excellent i in lov,2025-10-19T21:18:12.451458
10042,TomClancysRainbowSix,Negative,is my the bad just have and hate disappointing can can t,2025-10-19T21:18:12.451458
10043,MaddenNFL,Irrelevant,me be just on just twitter s a twitter and and s ,2025-10-19T21:18:12.452458
10044,LeagueOfLegends,Neutral,i,2025-10-19T21:18:12.452458
10045,RedDeadRedemption(RDR),Neutral,on to so on to and at to in my is is for in the a on the or or of and or and my s me com i twitter to and in just my a to on with so at but,2025-10-19T21:18:12.452458
10046,Amazon,Irrelevant,my but have but the my but with is com that in and have with twitter is a have to and all and all s in or of all i but the so and the be me,2025-10-19T21:18:12.452458
10047,johnson&johnson,Neutral,so or to a and game that is and at so it t of in my on com my in me that i in or are with the twitter me at and on but a game with but but to but,2025-10-19T21:18:12.452458
10048,PlayerUnknownsBattlegrounds(PUBG),Neutral,m,2025-10-19T21:18:12.452458
10049,RedDeadRedemption(RDR),Negative,this are of awful are s just for terrible awful so on the to and to for is on horrib,2025-10-19T21:18:12.452458
10050,TomClancysGhostRecon,Neutral,on but so that twitter in in at to at on to so a is it have a it be you a on but on s are and and it so but at is on b,2025-10-19T21:18:12.452458
10051,johnson&johnson,Irrelevant,a all are with so and on have just is to my for to a h,2025-10-19T21:18:12.452458
10052,AssassinsCreed,Negative,in are horrible the hate have terrible on of with t this you have my with have it disappointing a for just is t i bad a are bad but that but,2025-10-19T21:18:12.452458
10053,Xbox(Xseries),Neutral,for have to in or a so my is or a a all that,2025-10-19T21:18:12.453459
10054,MaddenNFL,Negative,bad i hate poor hate of but t are just to it horrible in it but my is sucks in is with disappointing but i twitter broken to terrible just t are and game you hate on disap,2025-10-19T21:18:12.453459
10055,GrandTheftAuto(GTA),Negative,with useless that game so is disappointing awful i this is but and horrible me terrible just ,2025-10-19T21:18:12.453459
10056,CS-GO,Positive,me just all with game me perfect com is nice wonderful be wonderful are my,2025-10-19T21:18:12.453459
10057,AssassinsCreed,Negative,awful just the a you hate usele,2025-10-19T21:18:12.453459
10058,Facebook,Negative,terrible bad t my and with com broken this worst horrible my on all worst sucks for horrible bad hate be just com this this hate t disappointing my poor hate me broken broken just game s with on terrible a sucks so bad,2025-10-19T21:18:12.453459
10059,Borderlands,Positive,for com on perfect fantastic it twitter good can fantastic of with with great but you t and best amazing it in just i,2025-10-19T21:18:12.453459
10060,MaddenNFL,Irrelevant,at at of so and are a game you just a it and for so be can to is and and you com and this just s at so at is in and but on game that is it all this is the of i on on and the t is s are all this twitter s are a at have in and can the or and and with ,2025-10-19T21:18:12.453459
10061,NBA2K,Positive,are to this amazing perfect and a best game are best but amazing beautiful love for all perfect all best just is twitter for me s t just s beautiful but excellent love great so my beautiful good tha,2025-10-19T21:18:12.454455
10062,ApexLegends,Negative,be terrible it awful a s all sucks that me com of to useless all is can have poor worst that so so have the twit,2025-10-19T21:18:12.454455
10063,CS-GO,Positive,it of but with have all twitter beautiful fantastic is all fantastic and game twitter nice have this can good have can amazing with a is best perfect for fantastic beautiful have com to can be great is nic,2025-10-19T21:18:12.454455
10064,johnson&johnson,Positive,but it it just me me great fan,2025-10-19T21:18:12.454455
10065,LeagueOfLegends,Neutral,are and is on just for twitter or but me is and have just to of in but and to just but all a but in this me and a all be be can t that that for but to you at have on t,2025-10-19T21:18:12.454455
10066,Facebook,Positive,beautiful fantastic my excellent it game awesome all my all to is excellent great game be game to so good and great of on me amazing goo,2025-10-19T21:18:12.454455
10067,Microsoft,Negative,t,2025-10-19T21:18:12.454455
10068,RedDeadRedemption(RDR),Positive,beautiful love to excellent beautiful with excellent nice perfect twitter good fantastic perfect have t nice with for i for s but of my best good love be and it excellent me with awesome,2025-10-19T21:18:12.454455
10069,TomClancysRainbowSix,Irrelevant,are and is can be my or and but in of t be is the is is a in for is game i can twitter in is just s s so the and com this t to on i the you to i are t is a to the at at s s a with all to s so a on but twitter a a me on you of all com and and but so on that game on at have on and on on a i to all can to with a this me i com to that in is is t in but ,2025-10-19T21:18:12.455459
10070,Xbox(Xseries),Irrelevant,have t game is this so that all have but to be and for to to just a is i,2025-10-19T21:18:12.455459
10071,Google,Irrelevant,the it i i it can can can so game in the the t so th,2025-10-19T21:18:12.455459
10072,Overwatch,Positive,have all great com of in nice be be wonderful you a,2025-10-19T21:18:12.455459
10073,Hearthstone,Negative,a poor twitter just s this sucks disappointing t me this but my hate i useless poor a horrible poor you but awful twitter sucks useless you useless horrible are with my worst in i,2025-10-19T21:18:12.455459
10074,TomClancysRainbowSix,Neutral,at have and to in just this can me to it have have but the the be to are to but for all can with me just and a on or to for but t i com with t is i but and is so a my at be com,2025-10-19T21:18:12.455459
10075,Facebook,Negative,t game to so game it awful twitter com my to broken s disappointing game and in me in awful ho,2025-10-19T21:18:12.455459
10076,Facebook,Irrelevant,t on i is but be t but me a to be so com be twitt,2025-10-19T21:18:12.455459
10077,johnson&johnson,Positive,are the just beautiful game just on t to with so are best this perfect excellent be ar,2025-10-19T21:18:12.455459
10078,CallOfDuty,Positive,good amazing a have be have beautiful me that amazing in great my the to so t ,2025-10-19T21:18:12.455459
10079,Xbox(Xseries),Irrelevant,on so my and and com is t in at just that s with but in just in to me it in in all the this the my just you me but i game or for in a a but but to have a is a game my on at with but is are and on s be or is just you ,2025-10-19T21:18:12.459194
10080,TomClancysRainbowSix,Irrelevant,game on in a but with so and my at in to game be with s the or and so in have it so can to in o,2025-10-19T21:18:12.459194
10081,Dota2,Irrelevant,to twitter be s the and my the it just but this can,2025-10-19T21:18:12.459194
10082,Verizon,Irrelevant,or a in a with with my a can in but can with that the of but my the t is just can is game so is my twitter have just me game can com and or is it this or and just are or with my are to or is in my for you com it in or this game my game th,2025-10-19T21:18:12.460209
10083,Fortnite,Negative,but sucks useless awful disappointing is just a horrible hate t horrible you sucks t awful and useless sucks in sucks hate that and useless and com all to that broken of hate poor poor t me broken hate hate broken can that this poor,2025-10-19T21:18:12.460209
10084,ApexLegends,Neutral,com the twitter t to are me is be at twitter for s game to is at just t are the of for on ,2025-10-19T21:18:12.460209
10085,TomClancysGhostRecon,Positive,can have in you perfect in great i the me for my s me great have best on on a wonderful just is love that s,2025-10-19T21:18:12.460209
10086,Overwatch,Negative,broken s t you but just in that so you is the the so with twitter sucks worst with s terrible all is disappointing in and you i it this sucks just terrible you to can s you so that just poor broken for can my game horrible horrible awful poor worst just horrible just bad,2025-10-19T21:18:12.460209
10087,CS-GO,Negative,hate you useless sucks disappointing horrible sucks twitter com broken my this terrible can worst the terrible in broken tw,2025-10-19T21:18:12.460209
10088,Borderlands,Neutral,and to just game you in that in this but to the a of a be on on to or be for twitter with and to it but in that the so twitter for that so with game a you in twitter i com ,2025-10-19T21:18:12.460209
10089,CallOfDutyBlackopsColdWar,Positive,the of excellent good my and all amazing excellent perfect t you just com game in it you best for can you i me best the but all excellent me ,2025-10-19T21:18:12.461212
10090,TomClancysRainbowSix,Negative,be the game you with and on for hate bad so in can is this can the can i broken the in just you be t,2025-10-19T21:18:12.461212
10091,Nvidia,Neutral,t all but a so and me all can or and are all but s that i to but you and to just com t is you my and to game t my be this of com a or have that but it all a com a the me my can an,2025-10-19T21:18:12.461212
10092,CallOfDutyBlackopsColdWar,Negative,a in my horrible it i with worst awful bad ,2025-10-19T21:18:12.461212
10093,Overwatch,Negative,com to but me bad game with worst broken the it disappointing just poor it horr,2025-10-19T21:18:12.462208
10094,Hearthstone,Neutral,have me my in a this me is be is with is it on t the but com in have on is a at so with is but to be with in to my t you a at be a to you,2025-10-19T21:18:12.462208
10095,WorldOfCraft,Negative,on a but is that broken and just but are poor be me so hate t,2025-10-19T21:18:12.462208
10096,Borderlands,Neutral,to on but is on in just you the can the twitter twitter but but all but have the the in for have in that have this that but to a are in have for this but that or i an,2025-10-19T21:18:12.462208
10097,LeagueOfLegends,Negative,the can hate the awful but t awful awful are for hate the useless me in and so to a i be just it horrible is us,2025-10-19T21:18:12.462208
10098,ApexLegends,Negative,i,2025-10-19T21:18:12.462208
10099,PlayStation5(PS5),Irrelevant,to you this just you i just at in at s it is is this me just but to the with s so or ,2025-10-19T21:18:12.462208
10100,Overwatch,Positive,a this love best so of excellent love com you i but awesome of in be i but i twitter and to game s good and great me can and amazing just love wonderful nice good excellent excellen,2025-10-19T21:18:12.463209
10101,Nvidia,Negative,sucks hate awful can disappointing com terrible it game awful my me you awful bad can it can worst horrible of so t useless i in is a a me that on useless on my of game is sucks can a you for com game horrible useless terrible awful ha,2025-10-19T21:18:12.463209
10102,LeagueOfLegends,Negative,horrible to on hate so horrible be on can horrible awful for be game for hate just be all on s of t,2025-10-19T21:18:12.463209
10103,CallOfDutyBlackopsColdWar,Neutral,com are with is me me a my twitter t t to on but but on in this and s with com at be at all the on my me so this it to are on but but to that the game me have my,2025-10-19T21:18:12.464690
10104,Microsoft,Negative,of in just but ,2025-10-19T21:18:12.464690
10105,Borderlands,Positive,i of but love awesome can excellent com wonderful all wonderful wonderful that beautiful me great the and perfect that it are nice good be a i nice just wonderful you fantastic the excellent game t awesome best,2025-10-19T21:18:12.464690
10106,Hearthstone,Positive,can the it to and it love wonderfu,2025-10-19T21:18:12.464690
10107,Google,Positive,perfect i with com excellent but good i so i can so com fantastic my best for wonderful can this s best nice in excellent amazing the game great nice my com a ,2025-10-19T21:18:12.464690
10108,Google,Neutral,and to in are and or have the s have so all on me i or t in just to all to in with a in it a have but so with in on it to or so and or the i to com in with it but com the and the and that of s with and this are my can be to just to the at at is and this,2025-10-19T21:18:12.464690
10109,Xbox(Xseries),Negative,bad sucks a be me hate of com twitter horrible sucks s a awful com horrible and awful in,2025-10-19T21:18:12.464690
10110,Fortnite,Neutral,or can at for the in t game be for this a in and is with to of and i i have or you but with all a twitter it in a so this at t,2025-10-19T21:18:12.464690
10111,johnson&johnson,Negative,a,2025-10-19T21:18:12.464690
10112,GrandTheftAuto(GTA),Positive,with wonderful to game for all i excellent all all and excellent beautiful and com love but that on love twitter that great all,2025-10-19T21:18:12.465706
10113,Xbox(Xseries),Negative,com broken hate twitter disappointing bad awful disap,2025-10-19T21:18:12.465706
10114,Overwatch,Positive,beautiful is be on nice the best awesome you my me with the s s can of have fantastic have be of and of it my have my can with amazi,2025-10-19T21:18:12.467006
10115,TomClancysGhostRecon,Positive,good perfect of and to for good amazing are are in it be that nice great best awesome nice have of of nice best amazing all my in great best excellent so nice s love ,2025-10-19T21:18:12.467006
10116,Cyberpunk2077,Positive,nice me but good a my s so twitter co,2025-10-19T21:18:12.467006
10117,TomClancysGhostRecon,Positive,game s beautiful my fantastic with to great good on are fantastic but but com can wonderful good that the of for my you best a fantastic perfect t with to,2025-10-19T21:18:12.467006
10118,LeagueOfLegends,Negative,poor that awful com and game s poor just it s broken me have can useless ga,2025-10-19T21:18:12.467006
10119,HomeDepot,Neutral,just on and with just are game the is or all for t twitter this at a and and a with a can just this so to at a my to for but is or and com to ga,2025-10-19T21:18:12.467006
10120,Microsoft,Positive,wonderful to all i in beautiful great beautiful excellent is me this nice but can love it twitter a the on you nice you amazing wonderful i beautiful all best with excellent s go,2025-10-19T21:18:12.467006
10121,Dota2,Neutral,at me in my com com on all can the and is to of game a or that is are i of of to you be com are or so to have on and at game so on but have but but with you and my just com or and be of is or i,2025-10-19T21:18:12.467006
10122,FIFA,Irrelevant,s,2025-10-19T21:18:12.468014
10123,CallOfDutyBlackopsColdWar,Positive,amazing and all awesome of you game beautiful great wonderful awesome all for be nice t for all thi,2025-10-19T21:18:12.468014
10124,Microsoft,Neutral,have at you and on my i a in that in but but in can but at t all on a the for the all,2025-10-19T21:18:12.468014
10125,Battlefield,Neutral,t,2025-10-19T21:18:12.468014
10126,TomClancysRainbowSix,Irrelevant,but to twitter so just are to in and or yo,2025-10-19T21:18:12.468014
10127,Battlefield,Negative,can hate are this are a so all terrible me sucks my the awful broken and sucks is my twitter but a to and ter,2025-10-19T21:18:12.468014
10128,Borderlands,Neutral,the to s of this to the are is a me the the in the and a me game have so in or it to and is of on to game to but me that the on s the com to t is,2025-10-19T21:18:12.468014
10129,NBA2K,Negative,s twitter for i on are with horrible s with but are that worst poor game in that a sucks so is and horrible be awful it worst with and be game worst that useless of useless can this a just sucks disappointing but just be so it sucks awful all bad are terr,2025-10-19T21:18:12.468014
10130,RedDeadRedemption(RDR),Neutral,be on in have be the it game is but ,2025-10-19T21:18:12.468014
10131,WorldOfCraft,Positive,excellent the excellent of just fantas,2025-10-19T21:18:12.469000
10132,WorldOfCraft,Positive,it just is beautiful it game great so excellent t just on of awesome me me nice great with can a s with but just in t perfect that com so com and ni,2025-10-19T21:18:12.469000
10133,Overwatch,Negative,in worst me it horr,2025-10-19T21:18:12.469000
10134,Fortnite,Neutral,that you me game but is have so on all but com in all can in you that game so in and the on in just so to this the or you to are or in and on so my it at that just in for and just s,2025-10-19T21:18:12.469000
10135,Dota2,Neutral,and just be it i at have game ,2025-10-19T21:18:12.469000
10136,RedDeadRedemption(RDR),Neutral,are to so and to on is my but is have com it a in to with is the on ar,2025-10-19T21:18:12.469000
10137,PlayStation5(PS5),Negative,sucks so my my it useless you game have on bad useless can i this bad t on you my are are hate all to awful twitter my with for s and me useless hate this but it t,2025-10-19T21:18:12.470545
10138,Nvidia,Irrelevant,is be is at the on game this a me a for so and can are in on me of the you but but the a just but on with me so me on the my it but so this,2025-10-19T21:18:12.472557
10139,CS-GO,Negative,t,2025-10-19T21:18:12.472557
10140,TomClancysGhostRecon,Neutral,com but at a s twitter is com of the so you it the but the of a this in in but game but on me on you on with you ,2025-10-19T21:18:12.472557
10141,GrandTheftAuto(GTA),Negative,m,2025-10-19T21:18:12.472557
10142,Battlefield,Positive,this so just com in i for excellent you and perfect are amazing awesome excellent excellent beautiful is s on me good,2025-10-19T21:18:12.472557
10143,RedDeadRedemption(RDR),Negative,all twitter with hate hate all com game sucks all of bad the poor a is all ,2025-10-19T21:18:12.472557
10144,RedDeadRedemption(RDR),Positive,you com i on all that game perfect t it fantastic t just all s be on to wonderful can to excellent that best t that can i wonderful good this is great is to with s the a t twitter this be it twitter good excellent perfect a can t awesome so my my b,2025-10-19T21:18:12.472557
10145,PlayStation5(PS5),Neutral,com the you game on all on s to at on the me it twitter at or this the or i on or me have o,2025-10-19T21:18:12.472557
10146,LeagueOfLegends,Positive,that amazing on and it excellent excellent to best just com to it on to beautiful me fantastic have excellent t have so all and great have be best beautiful my so with with my i you for are awesome that love and,2025-10-19T21:18:12.472557
10147,Overwatch,Irrelevant,be a on are my this t t is are with and game twitter but but in this all you ga,2025-10-19T21:18:12.478747
10148,AssassinsCreed,Negative,bad of and of in awful of i useless are and useless bad so poor i disappointing me to disappointing to useless that com have with sucks be useless in awful broken terrib,2025-10-19T21:18:12.478747
10149,Battlefield,Negative,just s my just s hate so twitter awful horrible bad it awful com tha,2025-10-19T21:18:12.478747
10150,TomClancysGhostRecon,Neutral,on a the t it it so is of are to or can are t my i in is s be the a is and is on at or is on to with just it and twitter that but just with this and on twitter a i have com can and is but with and twitt,2025-10-19T21:18:12.478747
10151,FIFA,Positive,excellent awesome twitter but love all to are and and fantastic can love best this i beautiful in that me great are awesome t amazing it best this that but be best is beautiful i al,2025-10-19T21:18:12.478747
10152,Verizon,Negative,i com my useless on of are for hate but can just so so have with a twitter so poor bad have awful but broken be to of and this so co,2025-10-19T21:18:12.478747
10153,WorldOfCraft,Neutral,a is is for or of for or to just can the a to at this me me a at in twitt,2025-10-19T21:18:12.478747
10154,TomClancysRainbowSix,Neutral,and and of and can my be but a t my just can the the just my and all be my twitter ,2025-10-19T21:18:12.478747
10155,PlayerUnknownsBattlegrounds(PUBG),Negative,so horrible this twitter bad sucks twitter that broken this t game and be this terrible it in awful be a i it it with com thi,2025-10-19T21:18:12.478747
10156,Fortnite,Positive,you it just for my can wo,2025-10-19T21:18:12.478747
10157,ApexLegends,Negative,are broken for that have with me bad that the that wit,2025-10-19T21:18:12.478747
10158,TomClancysGhostRecon,Negative,this useless disappointing of useless with is you worst twitter so sucks worst but t can me com useless terrible is sucks terrible and horrible horrible poor to it bad ,2025-10-19T21:18:12.478747
10159,Fortnite,Positive,com can i but on have with in it so s fantastic excellent best that wonderful of beautiful of this this great t amazing that on on wonderful beautifu,2025-10-19T21:18:12.478747
10160,johnson&johnson,Negative,poor hate with on all is have a,2025-10-19T21:18:12.478747
10161,Google,Negative,bad awful it useless i,2025-10-19T21:18:12.478747
10162,Verizon,Irrelevant,just is you so in in on i all on of or so s a can the on it that just to have be at of a is a gam,2025-10-19T21:18:12.478747
10163,Facebook,Positive,perfect s me you good to it is a are be a the be twitte,2025-10-19T21:18:12.478747
10164,NBA2K,Neutral,but t at on to so can or are me game or a on so but but so to all is twitter a or game but to at of you all s is you and but in so t at that game al,2025-10-19T21:18:12.478747
10165,Microsoft,Positive,t is in have fant,2025-10-19T21:18:12.478747
10166,WorldOfCraft,Positive,this fantastic a com wonderful excellent t perfect are wonderful is a and,2025-10-19T21:18:12.478747
10167,Verizon,Neutral,the the me in of i in you at you just i s my on but but just but this of have in game you you th,2025-10-19T21:18:12.478747
10168,PlayStation5(PS5),Positive,for to best nice love perfect with so awesome all it game a but with this my of have beau,2025-10-19T21:18:12.478747
10169,Dota2,Negative,broken t,2025-10-19T21:18:12.478747
10170,GrandTheftAuto(GTA),Irrelevant,t,2025-10-19T21:18:12.478747
10171,TomClancysRainbowSix,Irrelevant,and be,2025-10-19T21:18:12.478747
10172,Nvidia,Irrelevant,i,2025-10-19T21:18:12.478747
10173,FIFA,Neutral,are the in the are is the but t me g,2025-10-19T21:18:12.478747
10174,PlayStation5(PS5),Neutral,but and t the i twitter the at it t the so i are in that in com the but so is on so can just can but have twitter,2025-10-19T21:18:12.478747
10175,Facebook,Positive,game i is but wonderful me wonderful excellent fantastic you but can and good fantastic to so you love with all great all just game wonderful g,2025-10-19T21:18:12.478747
10176,MaddenNFL,Negative,a worst is terrible i for are in hate this all that disappointi,2025-10-19T21:18:12.478747
10177,Amazon,Neutral,on my game you that can me a so s to to have are just s on is is but t and so my and you t me to have and i it and a it all com twitter the is twitter the at s in for but but that but you so on with you the on to a,2025-10-19T21:18:12.478747
10178,GrandTheftAuto(GTA),Negative,the so can terrible just in ,2025-10-19T21:18:12.478747
10179,CallOfDutyBlackopsColdWar,Irrelevant,this but but is all but can with have to and to or s this of the twitter on in but game in the is c,2025-10-19T21:18:12.478747
10180,TomClancysGhostRecon,Neutral,on the of to ,2025-10-19T21:18:12.478747
10181,Fortnite,Negative,s and disappointing are you in bad game in useless terrible with all of it but hate it me sucks horrible that w,2025-10-19T21:18:12.478747
10182,Google,Negative,worst you bad with to i game game me it in my this with that awful game com horrible to twitter sucks twitter di,2025-10-19T21:18:12.478747
10183,CS-GO,Positive,me all are and but a awesome can me me love to twitter all but on with is wonderful just the twitter have can with with you with all wonderful s ,2025-10-19T21:18:12.478747
10184,Fortnite,Negative,that worst com this for game t this with poor to poor broken useless can awful me can for broken poor t be the useless disappointing the broken t useless t have this the have the this awful poor ,2025-10-19T21:18:12.478747
10185,RedDeadRedemption(RDR),Neutral,but at or to for you is or a have but a just t is in in all to a is is but s can it to but is are in but or my and at be or but,2025-10-19T21:18:12.478747
10186,CallOfDutyBlackopsColdWar,Negative,to with broken worst twitter and all just have the i it bad for all wo,2025-10-19T21:18:12.478747
10187,PlayStation5(PS5),Positive,excellent but love on all game excellent a beautiful with on this t is you in my you all com fantastic with com wonderful can for all perfect awesome amazing of for with com awesome be the you have with amazing fantastic i amazing and wonderful ,2025-10-19T21:18:12.478747
10188,Overwatch,Positive,s just com awesome in i is wonderful of t to and s excellent perfect beautiful i love all have i have t have wonderful in fantast,2025-10-19T21:18:12.478747
10189,FIFA,Positive,g,2025-10-19T21:18:12.478747
10190,Nvidia,Positive,i perfect good to amazing t it you my can are amazing s of for it is good all that i me and this me ,2025-10-19T21:18:12.478747
10191,Hearthstone,Negative,terrible horrible are broken are broken worst can broken poor for,2025-10-19T21:18:12.478747
10192,WorldOfCraft,Irrelevant,to com and that it game game on on are in com that or in all i are but t my for and with to in a it all i of in and with and,2025-10-19T21:18:12.478747
10193,Fortnite,Negative,s my a com sucks and is is useless and game on this i me s you i can the i be in disappointing be so that ,2025-10-19T21:18:12.478747
10194,CallOfDutyBlackopsColdWar,Irrelevant,and be to my this are a you all the can all in with i all t to twitter on t on have is for on it is but for ar,2025-10-19T21:18:12.478747
10195,HomeDepot,Positive,me in with twitter perfect love of can great so are game twitter is a love and and com but excellent with amazing amazing on and me s nice of good of twitter and that t s this game yo,2025-10-19T21:18:12.478747
10196,HomeDepot,Irrelevant,t is be at in it i is is all be me s and but com twitter for of s in my s game game is is on twitter but in my just at all with s of the are or of for of all a but it be a to can a just you this,2025-10-19T21:18:12.478747
10197,NBA2K,Neutral,just have at for my be is you a for at at game to me just you is on on you i,2025-10-19T21:18:12.478747
10198,Amazon,Positive,all love all to game game have be com my can beautiful nice on be of in so be nice beautiful excellent s all love you and this me nice beautiful b,2025-10-19T21:18:12.478747
10199,MaddenNFL,Neutral,me of the and game game to just the and in on to a you com in that on can the you,2025-10-19T21:18:12.478747
10200,ApexLegends,Neutral,a at i twitter at that is twitter to twitter is s in the be have to and and have s is of me and in my are but to a is in of for in and you at on twitter,2025-10-19T21:18:12.478747
10201,TomClancysGhostRecon,Positive,it awesome game perfect nice have all you just great com be you excellent can amazing are ,2025-10-19T21:18:12.478747
10202,NBA2K,Negative,i my awful game hate with useless can me this that game disappointing and bad broken that useless it sucks and that worst you s be are me in are are of terrible horrible me me bad is terr,2025-10-19T21:18:12.478747
10203,AssassinsCreed,Negative,so the t this ho,2025-10-19T21:18:12.478747
10204,TomClancysRainbowSix,Irrelevant,is but and be in to s or or of but all twitter it be at com can for the of be the a to the have in the this you is it is and that it and but twitter can but it to on i s is game or i or for this can just are for of s,2025-10-19T21:18:12.478747
10205,Microsoft,Irrelevant,is but on of are and is is can but can twitter game have with and a the is but all but or so and the on game the can all so twitter at just and the a at ,2025-10-19T21:18:12.478747
10206,CallOfDuty,Irrelevant,the of but is game or have be it or com just to have that twitter in to for just the with a the but my for that in me t for game is of i at s me a are in and for but i me so and in com my that is i have my game ,2025-10-19T21:18:12.478747
10207,Facebook,Neutral,in it is s my a for to game the that me com s is the can just,2025-10-19T21:18:12.478747
10208,Xbox(Xseries),Positive,p,2025-10-19T21:18:12.478747
